LocationID,LocationAbbr,Stratification1,Year,yhat,yhat_lower,yhat_upper
30005,MT,Ages 65+ years,2030,1392.2929139350842,1358.796195309608,1423.9136427754288
30007,MT,Ages 65+ years,2030,1392.2929139350842,1359.8539505033661,1422.8798020788527
30009,MT,Ages 65+ years,2030,1079.349904559407,1039.6857513953034,1120.7462245407385
30011,MT,Ages 65+ years,2030,1392.2929139350842,1360.217050166894,1422.8474226061812
30013,MT,Ages 65+ years,2030,1092.7290645388066,1067.7494644535223,1119.0431594324868
30015,MT,Ages 65+ years,2030,1393.1991368021354,1334.6291713924902,1450.6792876770678
30017,MT,Ages 65+ years,2030,1419.4630270413272,1397.9781056085649,1441.7506738352822
30019,MT,Ages 65+ years,2030,1392.2929139350842,1361.4258923358248,1426.0309187006649
30021,MT,Ages 65+ years,2030,969.164735705842,863.1862914877868,1068.0782352596364
30023,MT,Ages 65+ years,2030,1663.6148194807379,1621.2520528819289,1706.036252217
30025,MT,Ages 65+ years,2030,1392.2929139350842,1359.6109955892189,1423.5122860289541
30027,MT,Ages 65+ years,2030,1758.3347055492986,1727.6427316013683,1789.3531785231814
30029,MT,Ages 65+ years,2030,1232.689451906839,1209.4303370143366,1256.1829760266166
30031,MT,Ages 65+ years,2030,1102.3366082294028,1076.80023970084,1129.3046920075458
30033,MT,Ages 65+ years,2030,1392.2929139350842,1362.6140459544804,1423.814677571254
30035,MT,Ages 65+ years,2030,1462.4389199614618,1423.207021178628,1501.52510978001
30037,MT,Ages 65+ years,2030,1392.2929139350842,1363.2352692853096,1422.679672779323
30039,MT,Ages 65+ years,2030,1392.2929139350842,1358.5685192255833,1421.3519067183124
30041,MT,Ages 65+ years,2030,2041.2027737530884,1969.372811356966,2111.2366142374512
30043,MT,Ages 65+ years,2030,1712.1186446258248,1647.0601741084731,1780.0097173531437
30045,MT,Ages 65+ years,2030,1392.2929139350842,1361.3599370180657,1425.1292298215126
30047,MT,Ages 65+ years,2030,1129.3954893607802,1098.814037175473,1160.3702219090585
30049,MT,Ages 65+ years,2030,1197.987931241981,1134.072615779338,1259.5981016872165
30051,MT,Ages 65+ years,2030,1392.2929139350842,1360.9184334293661,1423.681700696963
30053,MT,Ages 65+ years,2030,1020.1867105208719,923.1647086075728,1118.231277716292
30055,MT,Ages 65+ years,2030,1392.2929139350842,1361.4726078251995,1424.7997273729768
30057,MT,Ages 65+ years,2030,1060.7856786300615,1020.8201033578674,1102.7179760327144
30059,MT,Ages 65+ years,2030,1392.2929139350842,1363.7665168426954,1419.7793957368342
30061,MT,Ages 65+ years,2030,1392.2929139350842,1362.341068886725,1423.6420177551975
30063,MT,Ages 65+ years,2030,1319.897815095492,1309.9584246615948,1330.0187735211553
30065,MT,Ages 65+ years,2030,1392.2929139350842,1361.3467277789075,1424.6369636058796
30067,MT,Ages 65+ years,2030,1105.9885219657933,1078.9088927768314,1134.3670694747516
30069,MT,Ages 65+ years,2030,1392.2929139350842,1362.5593077734975,1424.240289157367
30071,MT,Ages 65+ years,2030,1392.2929139350842,1361.8519705267706,1424.3578565062396
30073,MT,Ages 65+ years,2030,1140.4146344199703,1112.3685461294053,1168.8774474145243
30075,MT,Ages 65+ years,2030,1392.2929139350842,1362.6123789735432,1423.6452117240638
30077,MT,Ages 65+ years,2030,1632.4014491133257,1597.7306236531194,1667.7313109513566
30079,MT,Ages 65+ years,2030,1392.2929139350842,1359.459364556286,1422.9798827463712
